Time,Potential
0.000000,26486.116743
0.126463,26486.116743
0.243934,26489.510041
0.496823,26491.541860
0.634766,26488.897029
0.818385,26503.529317
1.128452,26478.574317
1.242902,26466.606360
1.306899,26466.510060
1.448261,26474.830048
1.664069,26466.532013
1.962513,26458.918623
2.213958,26454.323173
2.347929,26448.369268
2.646411,26434.734400
2.818775,26416.862422
2.997675,26412.238629
3.166016,26410.995354
3.435653,26410.119906
3.567634,26410.662475
3.846600,26394.771483
4.074331,26377.952026
4.160399,26379.954819
4.212868,26378.199876
4.262671,26374.846605
4.297641,26372.500581
4.321238,26362.405111
4.335066,26357.174366
4.346876,26357.967534
4.353783,26356.803806
4.360430,26355.471043
4.366109,26358.328938
4.373271,26362.142372
4.377390,26359.817638
4.381788,26354.444103
4.385809,26353.067676
4.389080,26349.850867
4.392644,26341.883362
4.395948,26345.529774
4.399332,26342.622048
4.402688,26339.704196
4.406282,26333.328602
4.409281,26333.328602
4.412392,26334.351840
4.415728,26334.608373
4.418977,26333.471610
4.422154,26332.647696
4.425318,26332.111632
4.428483,26330.617378
4.431694,26329.280900
4.434947,26329.280900
4.437984,26329.280900
4.441001,26329.280900
4.444072,26329.280900
4.447250,26329.280900
4.450598,26329.114626
4.453657,26329.114626
4.456771,26329.114626
4.459931,26329.114626
4.462986,26329.114626
4.485490,26327.906120
4.505061,26328.441959
4.550598,26324.441523
4.579198,26334.162925
4.612248,26333.404198
4.642289,26333.404198
4.684183,26338.681056
4.729741,26337.833568
4.771567,26338.568761
4.838386,26345.720745
4.916634,26347.978285
4.986429,26354.142226
5.060331,26359.643981
5.167074,26359.269574
5.211829,26359.301217
5.382932,26370.119430
5.551219,26379.956542
5.734043,26368.154959
5.818003,26361.728034
5.988843,26375.253122
6.095160,26365.835086
6.251908,26370.409971
6.316344,26367.207892
6.358442,26366.289506
6.414294,26358.600412
6.431465,26342.284362
6.448240,26340.534540
6.456148,26335.673418
6.469074,26325.704968
6.475411,26320.175808
6.482307,26289.488527
6.485817,26288.523465
6.489439,26288.191905
6.492503,26288.191905
6.495756,26289.737168
6.498731,26286.890665
6.501704,26286.890665
6.504822,26287.027089
6.507862,26285.191170
6.510663,26285.191170
6.513470,26285.191170
6.516389,26283.074189
6.519404,26279.657160
6.523994,26279.657160
6.526752,26279.657160
6.529581,26280.887147
6.532373,26279.664532
6.535299,26279.700179
6.538715,26279.357847
6.541533,26279.351061
6.544384,26279.815826
6.547309,26279.278255
6.550055,26279.278255
6.553043,26279.278255
6.555795,26279.278255
6.558583,26279.278255
6.561315,26279.278255
6.564066,26279.278255
6.566930,26279.278255
6.572303,26281.346416
6.604188,26277.938457
6.630684,26277.778397
6.657074,26277.778397
6.694751,26285.758339
6.770952,26294.810091
6.797862,26294.370346
6.826281,26292.365386
6.884193,26292.365386
6.919221,26288.761589
6.956002,26288.761589
6.974717,26288.761589
7.046990,26288.761589
7.076561,26286.240390
7.141627,26286.240390
7.170619,26286.240390
7.219559,26284.522056
7.285025,26297.689793
7.350758,26302.569631
7.458201,26311.798792
7.583831,26311.090990
7.618739,26310.037955
7.650325,26304.359935
7.666696,26298.709387
7.680569,26299.758469
7.693515,26299.758469
7.704777,26303.997182
7.712710,26306.882423
7.721726,26306.882423
7.728012,26306.926531
7.732879,26306.926531
7.738300,26302.531046
7.742186,26300.649360
7.746019,26300.195239
7.749934,26300.176493
7.753973,26294.934687
7.757184,26294.575108
7.760470,26293.438214
7.763877,26288.602547
7.766971,26288.602547
7.770182,26283.233656
7.773295,26281.900370
7.776187,26281.900370
7.779116,26281.900370
7.782117,26283.088853
7.785134,26283.525675
7.788036,26284.767235
7.791095,26283.151612
7.793977,26282.816116
7.796839,26282.816116
7.799741,26282.545466
7.802608,26282.545466
7.805368,26282.545466
7.808174,26282.545466
7.810957,26282.433492
7.813760,26282.467077
7.816565,26282.467077
7.819437,26282.467077
7.822208,26282.467077
7.826682,26282.467077
7.847015,26282.467077
7.864444,26282.467077
7.878681,26284.340253
7.897392,26284.362818
7.920812,26285.369531
7.963734,26299.542454
7.998657,26304.076488
8.066711,26315.714633
8.085514,26309.941158
8.170769,26310.380507
8.256366,26323.242386
8.376297,26323.843582
8.500798,26335.647099
8.638681,26348.971148
8.871047,26349.099399
9.054306,26354.637930
9.278251,26355.702763
9.404121,26344.168510
9.516984,26335.864850
9.624725,26346.714095
9.715338,26341.566491
9.830062,26343.251584
9.920907,26345.697131
9.956195,26310.711605
9.966795,26314.208549
9.978953,26313.620618
9.987843,26313.919337
9.994563,26307.032161
10.000796,26306.315539
10.006251,26306.889499
10.010130,26306.889499
10.014394,26304.432483
10.018179,26298.056827
10.021570,26298.072123
10.024746,26298.520163
10.027910,26303.447074
10.032657,26295.528495
10.037230,26294.362216
10.043079,26293.739770
10.046312,26292.783551
10.049389,26293.381933
10.052505,26291.281979
10.055686,26286.699861
10.058513,26286.699861
10.061368,26286.699861
10.065299,26288.282013
10.069540,26286.512038
10.072407,26286.512038
10.075314,26286.512038
10.078164,26286.512038
10.081160,26286.936978
10.084099,26286.733621
10.087016,26286.733621
10.089903,26286.650458
10.093271,26286.687210
10.096195,26286.687210
10.099156,26286.687210
10.102003,26286.687210
10.106541,26286.687210
10.120499,26286.818499
10.136707,26290.484438
10.150244,26290.484438
10.180605,26290.430356
10.200643,26297.806966
10.242212,26297.675002
10.274325,26297.142821
10.350815,26297.142821
10.387226,26297.748267
10.449863,26310.612392
10.523891,26318.507543
10.584920,26327.500250
10.721920,26326.859049
10.870361,26334.719273
11.018847,26342.498870
11.246557,26346.438187
11.605910,26351.382212
11.879603,26351.876024
12.102936,26355.208952
12.267624,26364.187301
12.480948,26367.249413
12.640050,26374.971083
12.779836,26375.121980
12.844596,26353.471416
12.871739,26348.940833
12.900231,26355.490585
12.920886,26359.286120
12.931060,26353.315512
12.942131,26336.222461
12.947961,26330.728647
12.953355,26337.780406
12.958369,26336.156786
12.962397,26322.731793
12.965837,26321.333479
12.969286,26317.132981
12.972669,26316.140833
12.976633,26315.143950
12.980628,26315.143950
12.983810,26314.112681
12.986901,26313.588654
12.989897,26313.588654
12.994032,26313.687111
12.997197,26310.663643
13.000496,26310.928999
13.003583,26310.987706
13.006681,26309.594587
13.009832,26310.587797
13.012968,26310.273046
13.016126,26309.143218
13.019506,26308.592218
13.022632,26308.592218
13.025680,26308.592218
13.028799,26308.016879
13.032025,26308.016879
13.035173,26308.016879
13.038196,26307.928955
13.041165,26307.928955
13.044167,26307.928955
13.049098,26307.928955
13.064319,26307.928955
13.081816,26307.928955
13.096112,26307.928955
13.123389,26315.632395
13.178845,26315.632395
13.197995,26315.632395
13.227195,26315.632395
13.271966,26322.904826
13.356478,26328.131554
13.412961,26332.204706
13.489930,26332.204706
13.613042,26338.134084
13.656219,26342.626033
13.730056,26339.712727
13.857472,26339.845201
13.988711,26337.597095
14.120447,26337.597095
14.249525,26346.835104
14.518134,26349.015358
14.632252,26345.953309
14.684589,26335.914584
14.773594,26333.328943
14.838504,26340.684031
14.883472,26343.308664
14.925796,26330.385304
14.941407,26340.742739
14.955959,26340.550811
